# Wins,# Losses,# Ties
313,209,99
313,210,99
313,211,99
314,211,99
314,211,100
314,212,100
315,212,100
316,212,100
317,212,100
317,213,100
317,214,100
318,214,100
319,214,100
320,214,100
321,214,100
322,214,100
322,215,100
323,215,100
323,216,100
323,217,100
324,217,100
324,217,101
325,217,101
326,217,101
327,217,101
328,217,101
328,218,101
329,218,101
330,218,101
331,218,101
332,218,101
333,218,101
333,219,101
333,220,101
334,220,101
335,220,101
336,220,101
337,220,101
338,220,101
339,220,101
340,220,101
340,220,102
341,220,102
341,221,102
342,221,102
343,221,102
343,222,102
344,222,102
344,223,102
345,223,102
345,224,102
346,224,102
347,224,102
347,225,102
347,225,103
347,226,103
347,226,104
347,226,105
348,226,105
349,226,105
349,226,106
349,227,106
350,227,106
351,227,106
352,227,106
352,228,106
353,228,106
353,229,106
353,230,106
353,231,106
353,232,106
354,232,106
355,232,106
356,232,106
357,232,106
358,232,106
359,232,106
359,233,106
360,233,106
360,234,106
360,235,106
361,235,106
361,235,107
361,236,107
362,236,107
362,237,107
362,238,107
362,239,107
363,239,107
364,239,107
365,239,107
366,239,107
367,239,107
368,239,107
369,239,107
369,240,107
369,241,107
370,241,107
371,241,107
372,241,107
372,242,107
372,242,108
373,242,108
373,243,108
373,243,109
374,243,109
374,244,109
375,244,109
375,244,110
375,244,111
375,245,111
375,246,111
376,246,111
376,247,111
376,248,111
376,248,112
377,248,112
378,248,112
379,248,112
380,248,112
381,248,112
381,249,112
382,249,112
382,250,112
382,251,112
383,251,112
383,252,112
384,252,112
384,253,112
385,253,112
385,254,112
385,255,112
386,255,112
386,256,112
386,257,112
387,257,112
387,258,112
387,259,112
387,260,112
388,260,112
388,261,112
388,262,112
388,263,112
388,264,112
388,264,113
388,265,113
389,265,113
390,265,113
391,265,113
391,266,113
392,266,113
392,267,113
392,268,113
392,269,113
392,270,113
392,271,113
393,271,113
393,272,113
394,272,113
395,272,113
396,272,113
397,272,113
397,272,114
397,273,114
397,274,114
398,274,114
398,275,114
398,276,114
399,276,114
399,277,114
400,277,114
401,277,114
401,278,114
402,278,114
403,278,114
404,278,114
404,279,114
404,280,114
405,280,114
406,280,114
407,280,114
408,280,114
409,280,114
410,280,114
410,281,114
411,281,114
411,282,114
412,282,114
413,282,114
414,282,114
415,282,114
416,282,114
416,283,114
417,283,114
417,284,114
417,285,114
417,286,114
417,287,114
418,287,114
419,287,114
420,287,114
421,287,114
421,288,114
421,289,114
421,289,115
422,289,115
422,290,115
422,290,116
423,290,116
423,291,116
424,291,116
425,291,116
426,291,116
427,291,116
428,291,116
429,291,116
429,292,116
429,292,117
430,292,117
431,292,117
431,293,117
432,293,117
433,293,117
434,293,117
435,293,117
436,293,117
436,294,117
437,294,117
437,295,117
438,295,117
439,295,117
439,295,118
440,295,118
440,296,118
441,296,118
442,296,118
443,296,118
444,296,118
444,297,118
445,297,118
446,297,118
446,298,118
446,299,118
447,299,118
447,300,118
447,301,118
447,302,118
447,303,118
447,304,118
448,304,118
448,304,119
448,304,120
449,304,120
449,304,121
450,304,121
451,304,121
451,305,121
451,306,121
452,306,121
453,306,121
453,307,121
454,307,121
455,307,121
455,307,122
456,307,122
456,307,123
456,308,123
457,308,123
458,308,123
458,309,123
458,310,123
458,311,123
459,311,123
459,312,123
459,313,123
459,314,123
460,314,123
461,314,123
462,314,123
463,314,123
464,314,123
465,314,123
466,314,123
467,314,123
467,315,123
468,315,123
469,315,123
470,315,123
470,316,123
471,316,123
472,316,123
472,317,123
472,318,123
473,318,123
474,318,123
475,318,123
475,319,123
476,319,123
476,320,123
476,321,123
477,321,123
478,321,123
478,322,123
478,323,123
478,324,123
478,325,123
478,325,124
479,325,124
479,326,124
480,326,124
480,327,124
481,327,124
482,327,124
483,327,124
484,327,124
484,327,125
485,327,125
486,327,125
487,327,125
488,327,125
489,327,125
490,327,125
491,327,125
492,327,125
493,327,125
493,328,125
494,328,125
494,329,125
495,329,125
496,329,125
496,330,125
497,330,125
498,330,125
498,331,125
499,331,125
500,331,125
501,331,125
501,332,125
502,332,125
502,333,125
502,334,125
503,334,125
504,334,125
505,334,125
505,335,125
505,336,125
506,336,125
507,336,125
508,336,125
509,336,125
509,337,125
510,337,125
511,337,125
511,338,125
512,338,125
513,338,125
514,338,125
514,339,125
515,339,125
516,339,125
517,339,125
517,340,125
517,341,125
518,341,125
519,341,125
519,342,125
520,342,125
521,342,125
522,342,125
522,343,125
523,343,125
523,344,125
524,344,125
525,344,125
525,345,125
526,345,125
527,345,125
528,345,125
528,346,125
528,347,125
529,347,125
529,348,125
530,348,125
531,348,125
532,348,125
533,348,125
533,349,125
534,349,125
535,349,125
536,349,125
537,349,125
538,349,125
539,349,125
540,349,125
540,349,126
540,350,126
540,351,126
541,351,126
542,351,126
543,351,126
544,351,126
544,352,126
545,352,126
546,352,126
547,352,126
547,353,126
548,353,126
549,353,126
549,354,126
550,354,126
551,354,126
551,355,126
552,355,126
552,356,126
553,356,126
553,357,126
553,358,126
553,358,127
553,359,127
554,359,127
555,359,127
556,359,127
557,359,127
558,359,127
559,359,127
560,359,127
561,359,127
561,360,127
562,360,127
563,360,127
564,360,127
564,361,127
565,361,127
566,361,127
567,361,127
568,361,127
569,361,127
570,361,127
571,361,127
572,361,127
572,362,127
573,362,127
574,362,127
574,363,127
574,364,127
575,364,127
576,364,127
577,364,127
577,365,127
578,365,127
579,365,127
579,365,128
579,366,128
580,366,128
580,367,128
580,367,129
580,368,129
581,368,129
582,368,129
582,369,129
583,369,129
583,370,129
584,370,129
585,370,129
586,370,129
587,370,129
587,370,130
588,370,130
588,371,130
588,372,130
588,373,130
589,373,130
590,373,130
590,374,130
591,374,130
592,374,130
593,374,130
594,374,130
595,374,130
596,374,130
597,374,130
598,374,130
598,375,130
599,375,130
599,376,130
600,376,130
601,376,130
601,377,130
602,377,130
603,377,130
603,378,130
604,378,130
605,378,130
606,378,130
606,379,130
607,379,130
608,379,130
608,380,130
608,381,130
609,381,130
610,381,130
610,382,130
610,383,130
611,383,130
611,384,130
612,384,130
613,384,130
613,385,130
614,385,130
614,386,130
615,386,130
616,386,130
617,386,130
617,387,130
617,388,130
618,388,130
619,388,130
619,389,130
619,390,130
619,391,130
620,391,130
621,391,130
622,391,130
623,391,130
624,391,130
624,392,130
625,392,130
626,392,130
627,392,130
628,392,130
629,392,130
630,392,130
631,392,130
631,393,130
631,393,131
631,393,132
631,394,132
632,394,132
633,394,132
634,394,132
634,395,132
634,396,132
634,396,133
635,396,133
636,396,133
637,396,133
638,396,133
639,396,133
639,396,134
640,396,134
640,397,134
640,398,134
641,398,134
641,398,135
641,398,136
641,398,137
641,399,137
642,399,137
643,399,137
644,399,137
644,400,137
645,400,137
645,401,137
645,402,137
646,402,137
646,403,137
647,403,137
648,403,137
648,403,138
648,404,138
649,404,138
649,404,139
649,405,139
650,405,139
650,406,139
650,407,139
651,407,139
651,408,139
651,409,139
652,409,139
652,410,139
652,411,139
652,412,139
652,413,139
653,413,139
654,413,139
655,413,139
656,413,139
657,413,139
657,413,140
658,413,140
659,413,140
660,413,140
661,413,140
661,414,140
662,414,140
663,414,140
664,414,140
664,415,140
665,415,140
665,416,140
666,416,140
667,416,140
668,416,140
668,417,140
669,417,140
669,418,140
669,419,140
669,420,140
670,420,140
671,420,140
672,420,140
672,421,140
673,421,140
674,421,140
675,421,140
676,421,140
677,421,140
677,422,140
677,423,140
678,423,140
679,423,140
679,424,140
680,424,140
681,424,140
682,424,140
682,425,140
683,425,140
683,426,140
684,426,140
685,426,140
686,426,140
686,427,140
687,427,140
687,428,140
687,429,140
687,430,140
688,430,140
689,430,140
690,430,140
691,430,140
692,430,140
693,430,140
694,430,140
694,431,140
695,431,140
695,432,140
695,433,140
696,433,140
696,434,140
697,434,140
698,434,140
699,434,140
699,435,140
699,435,141
700,435,141
700,436,141
701,436,141
702,436,141
703,436,141
703,437,141
704,437,141
705,437,141
706,437,141
707,437,141
708,437,141
709,437,141
709,438,141
710,438,141
710,439,141
711,439,141
712,439,141
713,439,141
714,439,141
715,439,141
716,439,141
717,439,141
718,439,141
719,439,141
719,440,141
720,440,141
721,440,141
721,440,142
722,440,142
722,441,142
722,442,142
723,442,142
724,442,142
724,443,142
724,444,142
724,445,142
725,445,142
725,446,142
726,446,142
727,446,142
728,446,142
728,447,142
728,448,142
728,449,142
729,449,142
729,450,142
730,450,142
731,450,142
732,450,142
733,450,142
733,451,142
734,451,142
735,451,142
735,452,142
736,452,142
736,453,142
736,454,142
736,455,142
737,455,142
737,456,142
737,457,142
738,457,142
738,458,142
738,459,142
739,459,142
740,459,142
740,459,143
740,460,143
740,461,143
741,461,143
742,461,143
742,462,143
743,462,143
743,463,143
743,463,144
744,463,144
745,463,144
746,463,144
746,464,144
747,464,144
748,464,144
749,464,144
750,464,144
751,464,144
752,464,144
752,465,144
753,465,144
754,465,144
754,466,144
755,466,144
756,466,144
757,466,144
758,466,144
758,467,144
759,467,144
760,467,144
761,467,144
762,467,144
763,467,144
764,467,144
765,467,144
766,467,144
766,468,144
767,468,144
768,468,144
769,468,144
770,468,144
771,468,144
772,468,144
773,468,144
774,468,144
774,469,144
774,470,144
774,471,144
775,471,144
776,471,144
776,472,144
776,473,144
776,474,144
777,474,144
778,474,144
779,474,144
779,475,144
780,475,144
781,475,144
782,475,144
783,475,144
783,476,144
784,476,144
785,476,144
785,477,144
786,477,144
787,477,144
788,477,144
788,478,144
788,479,144
788,480,144
788,480,145
788,481,145
789,481,145
790,481,145
791,481,145
792,481,145
793,481,145
794,481,145
795,481,145
795,482,145
795,483,145
795,483,146
795,484,146
796,484,146
797,484,146
798,484,146
799,484,146
799,485,146
800,485,146
800,486,146
801,486,146
802,486,146
802,487,146
803,487,146
803,488,146
804,488,146
804,489,146
805,489,146
806,489,146
807,489,146
807,489,147
807,489,148
808,489,148
809,489,148
809,489,149
810,489,149
810,490,149
810,491,149
811,491,149
811,492,149
812,492,149
813,492,149
814,492,149
814,493,149
814,494,149
815,494,149
815,494,150
815,495,150
816,495,150
817,495,150
817,496,150
818,496,150
818,497,150
818,497,151
819,497,151
819,498,151
820,498,151
820,499,151
821,499,151
821,500,151
821,501,151
822,501,151
823,501,151
823,502,151
823,502,152
823,503,152
824,503,152
825,503,152
826,503,152
826,504,152
826,504,153
826,505,153
826,506,153
826,507,153
827,507,153
828,507,153
829,507,153
829,508,153
829,509,153
830,509,153
830,510,153
831,510,153
832,510,153
832,511,153
833,511,153
833,512,153
833,513,153
834,513,153
834,513,154
835,513,154
836,513,154
836,513,155
836,513,156
837,513,156
838,513,156
838,514,156
839,514,156
839,514,157
840,514,157
840,515,157
840,515,158
841,515,158
842,515,158
842,516,158
842,517,158
843,517,158
844,517,158
845,517,158
846,517,158
846,517,159
846,518,159
847,518,159
848,518,159
849,518,159
849,519,159
850,519,159
851,519,159
852,519,159
853,519,159
854,519,159
854,520,159
854,521,159
855,521,159
855,522,159
856,522,159
857,522,159
857,523,159
858,523,159
858,524,159
859,524,159
859,525,159
859,526,159
860,526,159
861,526,159
862,526,159
863,526,159
864,526,159
864,527,159
864,528,159
864,529,159
864,530,159
864,531,159
864,532,159
865,532,159
866,532,159
867,532,159
868,532,159
868,533,159
869,533,159
870,533,159
871,533,159
872,533,159
873,533,159
874,533,159
875,533,159
876,533,159
877,533,159
878,533,159
879,533,159
880,533,159
880,533,160
880,534,160
881,534,160
882,534,160
882,535,160
882,536,160
883,536,160
884,536,160
884,537,160
885,537,160
885,538,160
886,538,160
887,538,160
887,539,160
887,540,160
888,540,160
889,540,160
890,540,160
890,540,161
890,541,161
891,541,161
892,541,161
893,541,161
894,541,161
895,541,161
896,541,161
897,541,161
898,541,161
899,541,161
900,541,161
901,541,161
902,541,161
902,542,161
902,543,161
903,543,161
904,543,161
905,543,161
906,543,161
907,543,161
908,543,161
909,543,161
910,543,161
911,543,161
911,544,161
912,544,161
913,544,161
914,544,161
914,544,162
915,544,162
915,544,163
915,544,164
915,545,164
915,546,164
915,547,164
916,547,164
917,547,164
918,547,164
918,548,164
918,549,164
919,549,164
919,550,164
920,550,164
921,550,164
922,550,164
923,550,164
924,550,164
925,550,164
926,550,164
927,550,164
927,551,164
928,551,164
929,551,164
929,552,164
929,552,165
930,552,165
931,552,165
932,552,165
933,552,165
934,552,165
934,553,165
935,553,165
936,553,165
936,554,165
937,554,165
938,554,165
939,554,165
940,554,165
941,554,165
942,554,165
943,554,165
944,554,165
945,554,165
945,554,166
946,554,166
947,554,166
948,554,166
949,554,166
950,554,166
951,554,166
952,554,166
953,554,166
953,555,166
953,556,166
953,556,167
953,556,168
954,556,168
954,557,168
954,558,168
954,558,169
955,558,169
955,558,170
956,558,170
956,559,170
957,559,170
957,560,170
957,560,171
958,560,171
958,560,172
958,561,172
959,561,172
960,561,172
960,561,173
961,561,173
962,561,173
962,561,174
963,561,174
964,561,174
965,561,174
965,562,174
966,562,174
967,562,174
968,562,174
968,563,174
969,563,174
969,564,174
970,564,174
970,565,174
970,566,174
971,566,174
972,566,174
972,567,174
973,567,174
974,567,174
974,568,174
975,568,174
975,569,174
975,570,174
976,570,174
977,570,174
978,570,174
979,570,174
980,570,174
981,570,174
982,570,174
983,570,174
983,571,174
984,571,174
985,571,174
985,572,174
985,573,174
986,573,174
987,573,174
987,574,174
987,575,174
988,575,174
989,575,174
990,575,174
991,575,174
992,575,174
993,575,174
993,576,174
994,576,174
994,577,174
995,577,174
995,578,174
995,579,174
996,579,174
996,580,174
996,581,174
996,582,174
996,583,174
997,583,174
997,584,174
998,584,174
998,585,174
999,585,174
1000,585,174
1000,586,174
1001,586,174
1001,586,175
1001,587,175
1002,587,175
1003,587,175
1004,587,175
1005,587,175
1006,587,175
1007,587,175
1008,587,175
1009,587,175
1010,587,175
1010,588,175
1011,588,175
1012,588,175
1013,588,175
1014,588,175
1015,588,175
1016,588,175
1016,589,175
1016,590,175
1016,590,176
1016,591,176
1017,591,176
1018,591,176
1019,591,176
1020,591,176
1021,591,176
1022,591,176
1023,591,176
1024,591,176
1025,591,176
1026,591,176
1026,592,176
1026,593,176
1027,593,176
1028,593,176
1029,593,176
1030,593,176
1030,593,177
1031,593,177
1032,593,177
1032,594,177
1033,594,177
1034,594,177
1034,594,178
1034,595,178
1034,595,179
1034,596,179
1034,597,179
1034,598,179
1035,598,179
1035,599,179
1036,599,179
1036,599,180
1037,599,180
1037,600,180
1037,601,180
1037,601,181
1037,601,182
1037,601,183
1037,602,183
1038,602,183
1039,602,183
1040,602,183
1040,603,183
1041,603,183
1041,604,183
1042,604,183
1043,604,183
1044,604,183
1044,604,184
1044,605,184
1044,605,185
1044,606,185
1044,607,185
1045,607,185
1045,608,185
1046,608,185
1046,608,186
1047,608,186
1047,609,186
1048,609,186
1049,609,186
1050,609,186
1051,609,186
1052,609,186
1053,609,186
1053,610,186
1054,610,186
1055,610,186
1056,610,186
1057,610,186
1058,610,186
1058,611,186
1059,611,186
1059,611,187
1060,611,187
1061,611,187
1062,611,187
1063,611,187
1064,611,187
1064,612,187
1064,613,187
1065,613,187
1066,613,187
1066,614,187
1067,614,187
1068,614,187
1069,614,187
1069,614,188
1070,614,188
1070,615,188
1070,615,189
1070,616,189
1070,617,189
1070,618,189
1070,619,189
1071,619,189
1072,619,189
1072,620,189
1072,620,190
1072,621,190
1073,621,190
1074,621,190
1075,621,190
1076,621,190
1077,621,190
1077,622,190
1077,622,191
1078,622,191
1079,622,191
1079,623,191
1080,623,191
1081,623,191
1082,623,191
1082,624,191
1083,624,191
1083,625,191
1084,625,191
1084,625,192
1085,625,192
1085,626,192
1086,626,192
1087,626,192
1088,626,192
1089,626,192
1090,626,192
1090,627,192
1090,628,192
1090,629,192
1090,630,192
1091,630,192
1092,630,192
1093,630,192
1094,630,192
1095,630,192
1095,631,192
1096,631,192
1096,632,192
1096,633,192
1096,634,192
1096,634,193
1096,635,193
1097,635,193
1098,635,193
1099,635,193
1099,635,194
1100,635,194
1100,636,194
1101,636,194
1102,636,194
1103,636,194
1103,637,194
1104,637,194
1105,637,194
1106,637,194
1107,637,194
1108,637,194
1109,637,194
1109,638,194
1110,638,194
1110,639,194
1111,639,194
1112,639,194
1113,639,194
1114,639,194
1114,640,194
1115,640,194
1116,640,194
1116,641,194
1117,641,194
1117,642,194
1117,643,194
1117,644,194
1118,644,194
1119,644,194
1120,644,194
1120,645,194
1120,646,194
1120,646,195
1120,646,196
1121,646,196
1122,646,196
1122,647,196
1123,647,196
1124,647,196
1124,648,196
1125,648,196
1125,649,196
1126,649,196
1126,649,197
1127,649,197
1127,650,197
1127,651,197
1127,652,197
1128,652,197
1128,653,197
1128,653,198
1129,653,198
1130,653,198
1131,653,198
1131,654,198
1131,655,198
1131,656,198
1131,657,198
1132,657,198
1133,657,198
1134,657,198
1135,657,198
1135,658,198
1135,658,199
1135,659,199
1135,660,199
1136,660,199
1137,660,199
1137,661,199
1138,661,199
1138,662,199
1139,662,199
1140,662,199
1140,663,199
1141,663,199
1142,663,199
1142,664,199
1143,664,199
1144,664,199
1144,665,199
1145,665,199
1146,665,199
1146,665,200
1146,666,200
1147,666,200
1147,667,200
1148,667,200
1148,668,200
1149,668,200
1150,668,200
1150,669,200
1151,669,200
1152,669,200
1153,669,200
1153,670,200
1154,670,200
1155,670,200
1156,670,200
1157,670,200
1158,670,200
1159,670,200
1160,670,200
1160,671,200
1160,672,200
1161,672,200
1162,672,200
1162,673,200
1163,673,200
1164,673,200
1165,673,200
1165,674,200
1165,675,200
1165,676,200
1166,676,200
1167,676,200
1167,677,200
1168,677,200
1169,677,200
1170,677,200
1170,678,200
1170,679,200
1170,680,200
1171,680,200
1172,680,200
1173,680,200
1173,681,200
1174,681,200
1174,682,200
1175,682,200
1176,682,200
1176,683,200
1177,683,200
1177,684,200
1178,684,200
1179,684,200
1179,685,200
1180,685,200
1181,685,200
1182,685,200
1183,685,200
1184,685,200
1185,685,200
1186,685,200
1187,685,200
1187,686,200
1188,686,200
1188,687,200
1188,688,200
1188,689,200
1189,689,200
1189,689,201
1190,689,201
1191,689,201
1191,689,202
1191,690,202
1192,690,202
1193,690,202
1194,690,202
1194,691,202
1194,692,202
1194,693,202
1195,693,202
1196,693,202
1197,693,202
1197,694,202
1197,695,202
1198,695,202
1199,695,202
1200,695,202
1200,696,202
1201,696,202
1201,697,202
1202,697,202
1203,697,202
1204,697,202
1205,697,202
1206,697,202
1207,697,202
1207,698,202
1208,698,202
1208,698,203
1209,698,203
1210,698,203
1210,699,203
1210,699,204
1211,699,204
1212,699,204
1213,699,204
1214,699,204
1215,699,204
1216,699,204
1217,699,204
1218,699,204
1219,699,204
1219,700,204
1219,700,205
1219,700,206
1220,700,206
1221,700,206
1222,700,206
1223,700,206
1224,700,206
1224,701,206
1225,701,206
1226,701,206
1226,702,206
1226,703,206
1226,704,206
1226,705,206
1226,706,206
1226,707,206
1226,708,206
1226,709,206
1227,709,206
1227,709,207
1228,709,207
1228,709,208
1229,709,208
1230,709,208
1230,710,208
1230,711,208
1231,711,208
1232,711,208
1233,711,208
1233,712,208
1234,712,208
1235,712,208
1235,712,209
1235,713,209
1236,713,209
1237,713,209
1237,714,209
1237,715,209
1237,716,209
1238,716,209
1238,717,209
1239,717,209
1239,718,209
1240,718,209
1241,718,209
1242,718,209
1242,719,209
1242,720,209
1243,720,209
1244,720,209
1244,721,209
1245,721,209
1246,721,209
1246,722,209
1246,723,209
1247,723,209
1247,724,209
1248,724,209
1249,724,209
1250,724,209
1251,724,209
1251,725,209
1252,725,209
1252,725,210
1252,726,210
1252,726,211
1252,727,211
1253,727,211
1254,727,211
1255,727,211
1256,727,211
1256,728,211
1256,729,211
1257,729,211
1258,729,211
1258,730,211
1258,731,211
1258,732,211
1258,733,211
1258,733,212
1258,733,213
1259,733,213
1259,734,213
1260,734,213
1261,734,213
1262,734,213
1262,735,213
1262,736,213
1262,737,213
1262,737,214
1262,738,214
1262,739,214
1263,739,214
1263,740,214
1264,740,214
1264,740,215
1265,740,215
1265,741,215
1266,741,215
1266,742,215
1267,742,215
1268,742,215
1269,742,215
1269,743,215
1269,744,215
1270,744,215
1271,744,215
1272,744,215
1273,744,215
1274,744,215
1275,744,215
1276,744,215
1277,744,215
1278,744,215
1278,745,215
1279,745,215
1279,746,215
1280,746,215
1281,746,215
1281,747,215
1282,747,215
1282,747,216
